date,state,district,pincode,demo_age_5_17,demo_age_17_
01-05-2025,Gujarat,Surendra Nagar,363030,77,526
01-05-2025,Maharashtra,Nashik,423203,206,1997
01-05-2025,Chhattisgarh,Janjgir-champa,495692,24,358
01-05-2025,Madhya Pradesh,Harda,461441,56,321
01-05-2025,Karnataka,Mysuru,570007,81,377
01-05-2025,Madhya Pradesh,Balaghat,481116,38,146
01-05-2025,Gujarat,Kachchh,370465,126,703
01-05-2025,West Bengal,Purba Medinipur,721631,109,632
01-05-2025,Karnataka,Bengaluru,560100,182,1246
01-05-2025,Madhya Pradesh,Chhindwara,480223,111,418
01-05-2025,Madhya Pradesh,Chhindwara,480221,118,499
01-05-2025,Gujarat,Surat,395002,107,1019
01-05-2025,Uttar Pradesh,Amroha,244221,372,3326
01-05-2025,Gujarat,Ahmedabad,380058,163,1108
01-05-2025,Madhya Pradesh,Raisen,464886,117,488
01-05-2025,Haryana,Mahendragarh,123021,63,512
01-05-2025,Andhra Pradesh,East Godavari,533107,105,598
01-05-2025,Madhya Pradesh,Rajgarh,465697,84,361
01-05-2025,Chhattisgarh,Korba,495674,73,923
01-05-2025,Madhya Pradesh,Damoh,470881,34,266
01-05-2025,Delhi,South Delhi,110030,131,1223
01-05-2025,Madhya Pradesh,Agar Malwa,465441,64,485
01-05-2025,Madhya Pradesh,Khargone,451331,96,466
01-05-2025,Telangana,Hyderabad,500005,192,1057
01-05-2025,Andhra Pradesh,Y. S. R,516227,48,249
01-05-2025,Madhya Pradesh,Ujjain,456443,54,375
01-05-2025,Madhya Pradesh,Chhatarpur,471001,222,1234
01-05-2025,Madhya Pradesh,Mandsaur,458664,68,326
01-05-2025,Madhya Pradesh,Bhind,477001,387,1897
01-05-2025,Haryana,Kurukshetra,136128,88,569
01-05-2025,Punjab,SAS Nagar (Mohali),140301,181,1880
01-05-2025,Haryana,Jind,126112,62,485
01-05-2025,Telangana,Mahabubnagar,509001,280,1384
01-05-2025,Gujarat,Valsad,396065,357,898
01-05-2025,Tamil Nadu,Tiruppur,641654,119,650
01-05-2025,Chandigarh,Chandigarh,160036,256,1325
01-05-2025,Punjab,Tarn Taran,143416,51,781
