date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-05-2025,Gujarat,Dahod,389152,58,61,56
01-05-2025,Maharashtra,Washim,444505,198,20,10
01-05-2025,Meghalaya,East Garo Hills,794111,109,284,175
01-05-2025,West Bengal,Nadia,741313,55,15,19
01-05-2025,Gujarat,Banaskantha,385575,74,29,19
01-05-2025,Gujarat,Dahod,389170,107,96,19
01-05-2025,Gujarat,Ahmedabad,382345,119,55,15
01-05-2025,Gujarat,Dahod,389146,24,17,20
01-05-2025,Bihar,Sitamarhi,843330,163,154,80
01-05-2025,Bihar,Muzaffarpur,842004,115,95,13
01-05-2025,Tamil Nadu,Coimbatore,641402,59,19,11
01-05-2025,Assam,Tinsukia,786174,10,18,27
01-05-2025,Uttar Pradesh,Bahraich,271881,131,232,21
01-05-2025,Assam,Goalpara,783120,48,31,15
01-05-2025,West Bengal,Uttar Dinajpur,733202,649,340,13
01-05-2025,Meghalaya,East Khasi Hills,793113,56,129,56
01-05-2025,Karnataka,Bengaluru,560061,70,37,11
01-05-2025,Karnataka,Bengaluru,560049,89,61,16
01-05-2025,Assam,Karbi Anglong,782461,36,191,20
01-05-2025,Uttar Pradesh,Siddharthnagar,272201,54,88,11
01-05-2025,Meghalaya,South West Khasi Hills,793114,93,114,103
01-05-2025,Meghalaya,West Garo Hills,794104,286,236,140
01-05-2025,Madhya Pradesh,Gwalior,474006,338,108,18
01-05-2025,Maharashtra,Parbhani,431401,326,72,21
01-05-2025,Uttar Pradesh,Bareilly,243201,750,246,15
01-05-2025,Mizoram,Lunglei,796701,136,31,16
01-05-2025,Assam,Tinsukia,786182,34,55,38
01-05-2025,Rajasthan,Jaipur,302013,120,70,10
01-05-2025,Assam,Sibsagar,785685,43,12,44
01-05-2025,Gujarat,Kheda,387001,89,18,33
01-05-2025,Delhi,West Delhi,110059,1094,373,140
01-05-2025,West Bengal,North 24 Parganas,743263,169,68,14
01-05-2025,Assam,Goalpara,783126,19,22,12
01-05-2025,Uttar Pradesh,Varanasi,221001,398,651,13
01-05-2025,Manipur,Imphal West,795001,44,37,25
01-05-2025,Uttar Pradesh,Shahjahanpur,242001,758,522,13
01-05-2025,Assam,Tinsukia,786170,36,19,10
01-05-2025,Gujarat,Jamnagar,361002,31,10,11
01-05-2025,Uttar Pradesh,Meerut,250002,1093,812,21
01-05-2025,Uttar Pradesh,Siddharthnagar,272206,173,203,11
01-05-2025,Uttar Pradesh,Etah,207001,732,361,36
01-05-2025,Uttar Pradesh,Deoria,274001,224,306,10
01-05-2025,Bihar,Jamui,811307,245,292,13
01-05-2025,Assam,Nalbari,781126,90,50,23
01-05-2025,Meghalaya,East Khasi Hills,793006,43,45,49
01-05-2025,Maharashtra,Mumbai Suburban,400101,61,37,17
01-05-2025,Madhya Pradesh,Burhanpur,450221,147,49,17
01-05-2025,Karnataka,Bengaluru,560016,97,61,38
01-05-2025,Punjab,Ludhiana,141007,240,151,14
01-05-2025,Delhi,Shahdara,110032,66,47,20
01-05-2025,West Bengal,Cooch Behar,736167,217,180,10
01-05-2025,Madhya Pradesh,Vidisha,464228,209,43,15
01-05-2025,Madhya Pradesh,Morena,476001,633,247,13
01-05-2025,Uttar Pradesh,Kushinagar,274402,170,229,10
01-05-2025,Bihar,Muzaffarpur,843113,188,231,16
01-05-2025,Mizoram,Lawngtlai,796891,181,40,15
01-05-2025,Telangana,Hyderabad,500020,261,25,11
01-05-2025,Maharashtra,Nagpur,440023,77,10,10
01-05-2025,Bihar,Sitamarhi,843327,179,187,13
01-05-2025,Gujarat,Ahmedabad,382418,102,69,11
01-05-2025,Assam,Lakhimpur,787055,196,70,22
01-05-2025,Uttar Pradesh,Unnao,209801,673,586,27
01-05-2025,Assam,Karbi Anglong,782470,42,188,12
01-05-2025,Bihar,West Champaran,845306,174,256,22
01-05-2025,Bihar,Muzaffarpur,842001,128,191,28
01-05-2025,West Bengal,Nadia,741502,255,58,20
01-05-2025,Uttar Pradesh,Aligarh,202123,124,89,10
01-05-2025,Gujarat,Morbi,363641,225,50,20
01-05-2025,Kerala,Thiruvananthapuram,695305,32,15,11
01-05-2025,Uttar Pradesh,Bijnor,246763,442,120,17
01-05-2025,Assam,Tinsukia,786188,15,19,22
01-05-2025,Assam,Dibrugarh,786613,10,12,17
01-05-2025,Maharashtra,Sangli,416410,160,45,20
01-05-2025,Delhi,West Delhi,110018,317,120,32
01-05-2025,Bihar,Kaimur (Bhabua),821109,143,400,12
01-05-2025,Maharashtra,Solapur,413113,42,11,10
